City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,constantia,44.1833,28.65,15.38,78,49,3.38,RO,1686350402
245,chonchi,-42.6128,-73.8092,5.07,89,85,2.98,CL,1686350420
246,nova vicosa,-17.8919,-39.3719,22.56,86,19,2.24,BR,1686350420
247,cidade velha,14.9167,-23.6167,26.26,73,20,6.17,CV,1686350420
248,abomsa,9.9833,39.9833,25.83,35,93,1.58,ET,1686350420
249,kyzylorda,44.8528,65.5092,19.01,34,0,5.0,KZ,1686350421
250,hasaki,35.7333,140.8333,21.27,91,100,3.52,JP,1686350421
251,as sulayyil,20.4607,45.5779,31.14,12,2,4.17,SA,1686350421
252,bardai,11.65,7.2333,24.82,72,55,4.22,NG,1686350422
253,hammerfest,70.6634,23.6821,4.25,70,40,1.54,NO,1686350422
254,saipan,15.1355,145.701,29.25,100,20,2.24,MP,1686350422
255,sisimiut,66.9395,-53.6735,4.17,94,100,5.04,GL,1686350423
256,sokoni,-6.4333,39.55,25.52,81,77,4.05,TZ,1686350423
257,mweka,-4.85,21.5667,19.75,96,100,1.15,CD,1686350424
258,westport,41.1415,-73.3579,21.53,66,0,2.57,US,1686350338
259,tarusa,54.7233,37.1767,10.16,92,64,3.26,RU,1686350424
260,sinabang,2.4803,96.3801,26.98,81,100,1.05,ID,1686350425
261,shimoda,34.6667,138.95,22.28,87,100,2.62,JP,1686350425
262,st. john's,47.5649,-52.7093,8.71,96,100,5.14,CA,1686350318
263,samana,19.2056,-69.3369,30.98,72,61,4.11,DO,1686350426
264,robore,-18.3333,-59.75,26.02,59,2,2.66,BO,1686350426
265,tabas,33.5959,56.9244,26.15,41,0,1.1,IR,1686350427
266,yabelo,4.8833,38.0833,14.46,83,63,2.67,ET,1686350427
267,north battleford,52.7834,-108.2847,24.11,43,0,3.6,CA,1686350424
268,suda,59.1525,37.5582,2.68,77,1,2.74,RU,1686350428
269,acapulco de juarez,16.8634,-99.8901,31.9,62,0,6.69,MX,1686350428
270,yeed,4.55,43.0333,25.66,64,95,8.39,SO,1686350429
271,dunedin,-45.8742,170.5036,10.45,65,1,2.24,NZ,1686350429
272,dul'durga,50.6761,113.5931,14.38,68,7,3.07,RU,1686350429
273,mount gambier,-37.8333,140.7667,10.74,90,98,3.06,AU,1686350429
274,horta,38.5333,-28.6333,16.68,79,6,2.68,PT,1686350141
275,oumache,34.6929,5.6809,35.16,17,99,2.57,DZ,1686350430
276,palmer,42.1584,-72.3287,18.92,68,75,2.06,US,1686350431
277,ouled mimoun,34.9047,-1.0339,18.01,66,98,1.73,DZ,1686350431
278,aykhal,66.0,111.5,16.89,80,73,3.98,RU,1686350431
279,dickinson,29.4608,-95.0513,35.08,62,40,5.66,US,1686350432
280,choyr,46.3611,108.3611,14.18,40,21,2.78,MN,1686350432
281,kirando,-7.4167,30.6,23.46,63,8,1.97,TZ,1686350432
282,eyl,7.9803,49.8164,26.99,73,58,9.84,SO,1686350433
283,ponta delgada,37.7333,-25.6667,17.4,82,20,1.54,PT,1686350433
284,shizuishan,39.2333,106.7694,21.98,29,0,1.24,CN,1686350434
285,touros,-5.1989,-35.4608,24.99,86,19,4.73,BR,1686350434
286,labytnangi,66.6572,66.4183,7.24,53,66,2.76,RU,1686350434
287,west bay,19.3667,-81.4167,31.04,80,40,4.12,KY,1686350435
288,kapa'a,22.0752,-159.319,27.83,81,40,5.66,US,1686350435
289,pochinok,54.4068,32.4407,10.7,96,37,3.68,RU,1686350435
290,mont-tremblant,46.1949,-74.6264,14.77,82,72,1.03,CA,1686350436
291,khorixas,-20.3667,14.9667,15.35,36,0,0.72,NA,1686350436
292,santa cruz cabralia,-16.2781,-39.0247,22.13,100,100,2.06,BR,1686350436
293,kavieng,-2.5744,150.7967,28.53,73,45,3.35,PG,1686350437
294,holmen,43.9633,-91.2562,28.88,33,0,3.6,US,1686350437
295,saint-leu,-21.15,55.2833,22.46,84,1,0.68,RE,1686350437
296,pampierstad,-27.7832,24.6877,8.09,61,0,2.16,ZA,1686350437
297,greymouth,-42.4667,171.2,8.35,53,5,2.07,NZ,1686350439
298,tazacorte,28.629,-17.9293,20.54,92,0,3.09,ES,1686350439
299,naama,33.2667,-0.3167,20.63,61,100,8.29,DZ,1686350440
300,korla,41.7597,86.1469,25.85,25,61,3.52,CN,1686350440
301,magadan,59.5667,150.8,18.63,82,20,2.69,RU,1686350441
302,malango,-2.9627,119.9001,19.08,94,59,0.93,ID,1686350441
303,guerrero negro,27.9769,-114.0611,19.83,60,46,8.62,MX,1686350441
304,port alfred,-33.5906,26.891,11.77,88,27,2.24,ZA,1686350442
